#{"t_start": 1746037119.556275, "env_id": "PickCube-v1"}
r,l,t
4.555833,50,0.538853
3.495829,50,0.578865
4.762291,50,0.624423
1.109667,50,0.665187
1.264342,50,0.707008
1.287489,50,0.747
2.482958,50,0.786407
4.862626,50,0.831385
4.591221,50,0.872644
1.587455,50,0.913728
3.786948,50,0.956202
1.205852,50,0.995724
2.885307,50,1.037372
1.686428,50,1.077723
4.029991,50,1.121348
1.992175,50,1.16335
1.649316,50,1.203298
2.790924,50,1.244804
1.35899,50,1.285419
4.386603,50,1.326376
2.169852,50,1.367886
2.043309,50,1.407156
4.9046,50,1.450704
1.766271,50,1.492737
1.440944,50,1.532072
5.262222,50,1.576106
2.896006,50,1.616462
1.249576,50,1.657262
2.453119,50,1.699436
0.770468,50,1.741184
0.509838,50,1.782484
2.686614,50,1.823064
3.392536,50,1.864012
2.019706,50,1.904524
2.028735,50,1.945737
1.575373,50,1.991214
1.424544,50,2.033906
2.240063,50,2.077139
2.244764,50,2.118111
1.786362,50,2.158777
3.451497,50,2.686364
2.700594,50,2.744535
4.446918,50,2.789124
2.991203,50,2.83397
1.844425,50,2.876967
1.713685,50,2.920721
2.703648,50,2.963444
1.541593,50,3.003719
1.807941,50,3.046235
3.434474,50,3.088452
3.029172,50,3.132415
2.804811,50,3.172746
3.968379,50,3.213941
2.142603,50,3.254995
3.855597,50,3.295164
1.918942,50,3.33645
1.916593,50,3.377202
1.961925,50,3.419208
1.83546,50,3.461136
1.401058,50,3.502305
5.047783,50,3.546428
2.169596,50,3.590125
5.225344,50,3.63409
3.736157,50,3.677353
3.466126,50,3.719809
1.624654,50,3.762131
2.894618,50,3.802748
2.490103,50,3.842596
2.897172,50,3.886493
3.287762,50,3.932683
5.826781,50,3.982559
1.28119,50,4.026063
1.615014,50,4.070385
3.90305,50,4.112729
2.922755,50,4.156482
5.018591,50,4.204592
2.166992,50,4.245978
1.460869,50,4.289016
2.342751,50,4.330486
3.515684,50,4.372386
3.534675,50,4.416374
1.794304,50,4.949286
2.648563,50,4.991644
4.381506,50,5.034991
4.111411,50,5.076583
4.512874,50,5.122368
3.617609,50,5.165379
2.23414,50,5.209006
4.121414,50,5.25241
1.567603,50,5.29528
1.661093,50,5.336537
2.544909,50,5.378384
1.979275,50,5.423327
2.612747,50,5.467073
2.270055,50,5.507997
2.413796,50,5.550268
2.006796,50,5.590634
3.653623,50,5.633572
4.693303,50,5.677874
1.757133,50,5.718184
4.136666,50,5.761583
2.369259,50,5.802801
1.357827,50,5.843855
3.711891,50,5.886012
2.443594,50,5.927604
4.255637,50,5.969539
3.124486,50,6.010251
5.172546,50,6.054213
2.069707,50,6.096701
1.049469,50,6.136341
3.009695,50,6.176668
4.868999,50,6.219892
4.441811,50,6.264047
2.689336,50,6.312438
1.015101,50,6.353507
3.663343,50,6.395316
1.628774,50,6.437494
2.572569,50,6.481662
1.6847,50,6.526121
1.712482,50,6.568572
3.698426,50,6.617241
0.89721,50,6.665749
4.508144,50,7.273648
5.596185,50,7.320872
4.831361,50,7.369086
6.087285,50,7.416775
4.600283,50,7.458646
2.642916,50,7.500032
3.592612,50,7.540001
2.655627,50,7.581444
2.648894,50,7.621562
5.176477,50,7.667747
3.351008,50,7.712056
4.833245,50,7.757408
3.124951,50,7.800205
4.053536,50,7.844775
4.661839,50,7.889054
3.873964,50,7.931839
3.781806,50,7.976717
2.047165,50,8.020908
2.053665,50,8.066341
4.497316,50,8.1123
2.63125,50,8.152964
3.255095,50,8.194672
3.689493,50,8.234847
1.497363,50,8.27724
5.355319,50,8.322219
3.750304,50,8.365833
2.663686,50,8.409397
3.404688,50,8.449849
2.777995,50,8.490267
2.791492,50,8.534084
2.465857,50,8.577628
4.429585,50,8.622792
1.452761,50,8.666863
4.59393,50,8.713841
3.982808,50,8.756298
1.5761,50,8.797905
1.919404,50,8.883608
4.376087,50,8.928303
3.470685,50,8.974471
3.866886,50,9.018299
4.042516,50,9.060762
2.841295,50,9.589393
3.456597,50,9.633754
3.301746,50,9.676637
2.864868,50,9.722376
3.655626,50,9.767854
3.53936,50,9.814592
3.561106,50,9.857408
5.015235,50,9.903693
2.03951,50,9.950937
3.802665,50,9.99717
5.252224,50,10.045189
